laptop_id,image_link
179950,//static.shop.kz/upload/iblock/0d2/0qi447tpcq9a232kek8kt78wnp9z5n7l/179950_MacBook-Air-A3114_01_1.jpg
179949,//static.shop.kz/upload/iblock/93a/0v6ygrdzart2s41ffxtshptne6qun88o/179949_01_1.jpg
179947,//static.shop.kz/upload/iblock/ba9/pi969xxwe6kauo7fmfayr1kzeblxjnut/179947_01_1.jpg
179912,//static.shop.kz/upload/iblock/419/z7io8p3g1tyunzk6ui603ehykavjkruv/179912_01_1.jpg
179913,//static.shop.kz/upload/iblock/ed4/i3xjxdwlh7v8m2tgi23hm6ryif1g2poy/179913_01_1.jpg
179911,//static.shop.kz/upload/iblock/7e7/17bsgwbza0i3kl6xwbuj1kx9qz50th3f/179911_13_bf0026ci_01_1.jpg
179747,//static.shop.kz/upload/iblock/349/23ivqlgdtsa2za76dbg1a0tkmq9no778/179747o200.jpg
179743,//static.shop.kz/upload/iblock/4ac/pa8ppnxlh7ikm7726c62mh71oxwgyvis/179743o200.jpg
179746,//static.shop.kz/upload/iblock/658/ur16y4fef55a2h644jy8w5wdco2jjz99/179746n200.jpg
179741,//static.shop.kz/upload/iblock/e3b/89d6uxhh4qeen0bju2n0ulcfq5s5p62g/179741n200.jpg
179740,//static.shop.kz/upload/iblock/94a/fyg5x6iw8mnzwrbm2he3n2hvps52fond/179740o200.jpg
179607,//static.shop.kz/upload/iblock/619/rx33104ibkuuz9fregy08f3zc3q40n3v/179607o200.jpg
179608,//static.shop.kz/upload/iblock/a39/xi3zgae8dki6kszee838l12b8xgddosq/179608o200o.jpg
179545,//static.shop.kz/upload/iblock/f82/mbt4yffa5zvnxw7z7yvfadhxlxexvhqk/179545o200o.JPG
179546,//static.shop.kz/upload/iblock/fe5/vjjnmq5nhha7ifxdelskxt1qgcbx7lu9/179546o200o.JPG
179547,//static.shop.kz/upload/iblock/6c1/xmb4zr0g7nv3psuimu592gepirijqd32/179547o200o.jpg
179548,//static.shop.kz/upload/iblock/073/nr2rgzr89ogagtsvygj78omjid7ja1lb/179548o200o.jpg
179549,//static.shop.kz/upload/iblock/944/0anju36b7mufih4ml2d4ivm6ry2rj5p2/179549o200o.jpg
179544,//static.shop.kz/upload/iblock/aae/wrsv79rw720sb44kmc5gh4v750hihpc1/179544o200o.jpg
179543,//static.shop.kz/upload/iblock/5fd/n14qy13l2cybnm3leu8e1f2rayyso75s/179543o200o.jpg
179537,//static.shop.kz/upload/iblock/e65/1deqoj6pyk9533jt0wmzcnnybez8sggt/179537o200o.jpg
179536,//static.shop.kz/upload/iblock/dec/y1iif358r0xs71t1vpy4onw8d3rffb75/179536o200.jpg
179534,//static.shop.kz/upload/iblock/051/r4a27yi8hk9xof15g5202twb3cmkkb16/179534o200o.jpg
179538,//static.shop.kz/upload/iblock/193/d32m775h85x6jbosdsuh8zvgowhwgyf6/179538o200.jpg
179533,//static.shop.kz/upload/iblock/f5b/4ji7svurn2i6jx5rk71je6ynneoy2x46/179533o200o.jpg
179535,//static.shop.kz/upload/iblock/0f0/ew4ul7dzqyiwn3c349dnx72ianeyeuep/179535o200.jpg
179463,//static.shop.kz/upload/iblock/ea6/9xjjv0f0f0u4pcdz3e9yyvt1hby04y04/179463o200.jpg
179462,//static.shop.kz/upload/iblock/fd8/mffl5ds2j7v3kemg11ftzlra2d8wkc14/179462o200.jpg
179399,//static.shop.kz/upload/iblock/cad/z2ildv2l3w0ij00maioknvhfyjmmgfcz/179399o200o.jpg
179398,//static.shop.kz/upload/iblock/dc0/7yap4i7mc97jp1hpb510tepbitsdvxag/179398o200o.jpg
179408,//static.shop.kz/upload/iblock/5f4/mkngm932gzen2r46akaets16jhryz644/179408o200o.jpg
179405,//static.shop.kz/upload/iblock/4cb/4f00i7nhmgfqm8wo00u04f0xsv73fbm0/179405o200o.jpg
179409,//static.shop.kz/upload/iblock/884/spnkat6sm9s4ip00d5wdnfo97adm1zy5/179409o200o_o.JPG
179397,//static.shop.kz/upload/iblock/980/u088rkm6hd6l00b4joqwilkdjkg0iwaa/179397o200o.jpg
179404,//static.shop.kz/upload/iblock/956/121mnooqod4hmvhk169ww6qnrl6rz3ww/179404o200.jpg
179401,//static.shop.kz/upload/iblock/f7c/1qsd90uooa5i5scq3npklm65p4m9q1cu/179041o200o.jpg
179410,//static.shop.kz/upload/iblock/c12/k009hgtcgvnd80vx36qqwwyi895yvh97/179410o200o.jpg
179396,//static.shop.kz/upload/iblock/514/yeu6m20m00614j4utdk273umfteebqva/179396o200o.jpg
179395,//static.shop.kz/upload/iblock/eb8/zsyibt63crk85zhwc06wlyexjf4yv146/179395o200o.JPG
179394,//static.shop.kz/upload/iblock/0b4/uiqr3hakevyok83k93icmjlez1x5i21f/179394o200o.jpg
179392,//static.shop.kz/upload/iblock/6b6/z13v2zsq91s47k5solhlfjrtwm3daqud/179392o200o.jpg
179391,//static.shop.kz/upload/iblock/e1b/qzow18148dn76nv5td5ywffjoirvqovc/179391o200o.jpg
179306,//static.shop.kz/upload/iblock/4b7/asnayziib41ewua2rxxk4dt9pjy1zaop/179306_Yoga-9-2_in_1_01_1.jpg
179307,//static.shop.kz/upload/iblock/410/8sjewkf6l6augkwd6akd3dchlozivknd/179307_Legion-Pro-7-16IRX9H_01_1.jpg
178260,//static.shop.kz/upload/iblock/498/h02dpn3y07iesh54ly4lh60wj8poprzs/178260o200o.jpg
179033,//static.shop.kz/upload/iblock/d23/77facpdqh83q9ulgvu1mk91q7wx7utgr/179033o200o_o.jpg
179032,//static.shop.kz/upload/iblock/245/qmsx3xjeva3iebu1kbvd9gutilw15xsu/179032o200o.jpg
179024,//static.shop.kz/upload/iblock/da6/99qe32rsnpvcwpxk3ed062m5qmz5brmk/179024o200o_o.jpg
