laptop id,title,old price,current price,Операционная система,Процессор,Интегрированная в процессор графика,"Объем оперативной памяти, ГБ",Жесткий диск,Твердотельный накопитель,"Диагональ экрана, дюйм",Разрешение экрана,"Вес, кг",image link,Внимание,Модель процессора,"Частота процессора, ГГц",Конфигурация оперативной памяти,Модель дискретной видеокарты,USB Type-C Power Delivery,Вес
179950,Apple MacBook Air A3114 с дисплеем Retina Liquid,849 990 ₸,829 990 ₸,Mac OS Ventura,Apple M3,10 Core GPU,8,HDD нет,256 ГБ SSD,15.3,2880 x 1864,1.51,//static.shop.kz/upload/iblock/0d2/0qi447tpcq9a232kek8kt78wnp9z5n7l/179950_MacBook-Air-A3114_01_1.jpg,,,,,,,
179949,Apple MacBook Air A3113 с дисплеем Retina Liquid,849 990 ₸,829 990 ₸,Mac OS Ventura,Apple M3,8 Core GPU,8,HDD нет,512 ГБ SSD,13.6,2560 x 1664,1.24,//static.shop.kz/upload/iblock/93a/0v6ygrdzart2s41ffxtshptne6qun88o/179949_01_1.jpg,,,,,,,
179947,Apple MacBook Air A3113 с дисплеем Retina Liquid,849 990 ₸,829 990 ₸,Mac OS Ventura,Apple M3,8 Core GPU,8,HDD нет,512 ГБ SSD,13.6,2560 x 1664,1.24,//static.shop.kz/upload/iblock/ba9/pi969xxwe6kauo7fmfayr1kzeblxjnut/179947_01_1.jpg,,,,,,,
179912,HP ProBook 450 G10,524 990 ₸,499 990 ₸,Отсутствует,Intel Core i7,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.79,//static.shop.kz/upload/iblock/419/z7io8p3g1tyunzk6ui603ehykavjkruv/179912_01_1.jpg,Не забудьте купитьоперационную систему,1355U,1.7,1 х 16 ГБ,,,
179913,HP ProBook 450 G10,749 990 ₸,719 990 ₸,Windows 11 Pro (x64),Intel Core i7,Intel UHD Graphics,16,HDD нет,1 ТБ SSD,15.6,1920 x 1080 Full HD,1.79,//static.shop.kz/upload/iblock/ed4/i3xjxdwlh7v8m2tgi23hm6ryif1g2poy/179913_01_1.jpg,,1355U,1.7,1 х 16 ГБ,GeForce RTX 2050,,
179911,"HP ENVY x360 13-bf0026ci, OLED",789 990 ₸,759 990 ₸,Windows 11 Home (x64) SL,Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,13.3,2880 x 1800 WQ+,1.34,//static.shop.kz/upload/iblock/7e7/17bsgwbza0i3kl6xwbuj1kx9qz50th3f/179911_13_bf0026ci_01_1.jpg,,1250U,,16 ГБ (распаяно на плате),,Да,
179747,DELL Vostro 3520,389 990 ₸,369 990 ₸,Linux,Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/349/23ivqlgdtsa2za76dbg1a0tkmq9no778/179747o200.jpg,Не забудьте купитьоперационную системудля более комфортной работы с устройством,1255U,1.7,2 х 8 ГБ,,,
179743,DELL Vostro 3520,279 990 ₸,264 990 ₸,Linux,Intel Core i5,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/4ac/pa8ppnxlh7ikm7726c62mh71oxwgyvis/179743o200.jpg,Не забудьте купитьоперационную системудля более комфортной работы с устройством,1235U,1.3,1 х 8 ГБ,,,
179746,DELL Vostro 3530,299 990 ₸,284 990 ₸,Linux,Intel Core i5,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.65,//static.shop.kz/upload/iblock/658/ur16y4fef55a2h644jy8w5wdco2jjz99/179746n200.jpg,Не забудьте купитьоперационную системудля более комфортной работы с устройством,1334U,1.3,1 х 8 ГБ,,,
179741,DELL Vostro 3530,236 990 ₸,224 990 ₸,Linux,Intel Core i3,Intel UHD Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.65,//static.shop.kz/upload/iblock/e3b/89d6uxhh4qeen0bju2n0ulcfq5s5p62g/179741n200.jpg,Не забудьте купитьоперационную системудля более комфортной работы с устройством,1305U,1.6,1 х 8 ГБ,,,
179740,DELL Vostro 3520,215 990 ₸,204 990 ₸,Linux,Intel Core i3,Intel UHD Graphics,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/94a/fyg5x6iw8mnzwrbm2he3n2hvps52fond/179740o200.jpg,Не забудьте купитьоперационную системудля более комфортной работы с устройством,1215U,1.2,1 х 8 ГБ,,,
