laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
179950,Apple,MacBook Air A3114 with display Retina Liquid,849990.0,829990.0,2.35,Mac OS Ventura,Integrated,10 Core GPU,No,Apple,M3,2.3,8,SSD,0.0,256.0,15.3,2880 x 1864,Other,1.51
179949,Apple,MacBook Air A3113 with display Retina Liquid,849990.0,829990.0,2.35,Mac OS Ventura,Integrated,8 Core GPU,No,Apple,M3,2.3,8,SSD,0.0,512.0,13.6,2560 x 1664,Other,1.24
179947,Apple,MacBook Air A3113 with display Retina Liquid,849990.0,829990.0,2.35,Mac OS Ventura,Integrated,8 Core GPU,No,Apple,M3,2.3,8,SSD,0.0,512.0,13.6,2560 x 1664,Other,1.24
179912,HP,ProBook 450 G10,524990.0,499990.0,4.76,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i7,1.7,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.79
179913,HP,ProBook 450 G10,749990.0,719990.0,4.0,Windows 11 Pro (x64),Both,Intel UHD Graphics,GeForce RTX 2050,Intel,Core i7,1.7,16,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,1.79
179911,HP,"ENVY x360 13-bf0026ci, OLED",789990.0,759990.0,3.8,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.3,16,SSD,0.0,512.0,13.3,2880 x 1800,WQ+,1.34
179747,DELL,Vostro 3520,389990.0,369990.0,5.13,Linux,Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,1.7,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
179743,DELL,Vostro 3520,279990.0,264990.0,5.36,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
179746,DELL,Vostro 3530,299990.0,284990.0,5.0,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.65
179741,DELL,Vostro 3530,236990.0,224990.0,5.06,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.6,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.65
179740,DELL,Vostro 3520,215990.0,204990.0,5.09,Linux,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
179607,Lenovo,IdeaPad 5 2-in-1 16AHP9,359990.0,339990.0,5.56,DOS,Integrated,AMD Radeon 760M,No,AMD,Ryzen 5,4.3,16,SSD,0.0,512.0,16.0,1920 x 1200,WUXGA,2.0
179608,Lenovo,IdeaPad 5 2-in-1 14IRU9,369990.0,349990.0,5.41,DOS,Integrated,Intel Graphics,No,Intel,Core i5,1.4,8,SSD,0.0,512.0,14.0,1920 x 1200,WUXGA,1.6
179545,Lenovo,"Yoga 7 2-in-1 14AHP9, OLED",535990.0,499990.0,6.72,Windows 11 Home (x64) SL,Integrated,AMD Radeon 760M,No,AMD,Ryzen 7,3.3,16,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.49
179546,Lenovo,"Yoga 7 2-in-1 14AHP9, OLED",509990.0,479990.0,5.88,Windows 11 Home (x64) SL,Integrated,AMD Radeon 760M,No,AMD,Ryzen 5,3.5,16,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.49
179547,Lenovo,"Yoga 7 2-in-1 14IML9, OLED",584990.0,549990.0,5.98,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 5,1.4,16,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.49
179548,Lenovo,"Yoga 7 2-in-1 14IML9, OLED",669990.0,629990.0,5.97,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 7,1.4,32,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.49
179549,Lenovo,"IdeaPad 5 Pro 14IMH9, OLED",592990.0,559990.0,5.57,DOS,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 9,2.3,32,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.4
179544,Lenovo,IdeaPad 5 2-in-1 14AHP9,342990.0,329990.0,3.79,DOS,Integrated,AMD Radeon 760M,No,AMD,Ryzen 5,4.3,16,SSD,0.0,512.0,14.0,1920 x 1200,WUXGA,1.6
179543,Lenovo,IdeaPad 5 2-in-1 14IRU9,312990.0,299990.0,4.15,DOS,Integrated,Intel Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,14.0,1920 x 1200,WUXGA,1.6
179537,Lenovo,Yoga Pro 7 14IMH9,979990.0,929990.0,5.1,Windows 11 Home (x64) SL,Both,Intel Arc Graphics,GeForce RTX 4060,Intel,Core Ultra 9,2.3,32,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.59
179536,Lenovo,Yoga Pro 7 14IMH9,759990.0,719990.0,5.26,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 9,2.3,32,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.59
179534,Lenovo,Yoga Pro 7 14AHP9,689990.0,649990.0,5.8,Windows 11 Home (x64) SL,Both,AMD Radeon 780M,GeForce RTX 3050,AMD,Ryzen 7,3.8,16,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.5
179538,Lenovo,Yoga Pro 7 14IMH9,649990.0,619990.0,4.62,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 5,1.2,32,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.59
179533,Lenovo,Yoga Pro 7 14AHP9,566990.0,539990.0,4.76,Windows 11 Home (x64) SL,Integrated,AMD Radeon 780M,No,AMD,Ryzen 7,3.8,16,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.5
179535,Lenovo,Yoga Pro 7 14IMH9,684990.0,649990.0,5.11,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 7,1.4,32,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.59
179463,Lenovo,IdeaPad Slim 3 16IRU8,239990.0,229990.0,4.17,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,512.0,16.0,1920 x 1200,WUXGA,1.37
179462,Lenovo,IdeaPad Slim 3 16IRU8,229990.0,219990.0,4.35,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,8,SSD,0.0,256.0,16.0,1920 x 1200,WUXGA,1.37
179399,Lenovo,Legion 9 16IRX9,2199990.0,2099990.0,4.55,DOS,Both,Intel UHD Graphics,GeForce RTX 4090,Intel,Core i9,2.2,32,SSD,0.0,2048.0,16.0,3200 x 2000,Other,2.6
179398,Lenovo,Legion 9 16IRX9,1889990.0,1789990.0,5.29,DOS,Both,Intel UHD Graphics,GeForce RTX 4080,Intel,Core i9,2.2,32,SSD,0.0,2048.0,16.0,3200 x 2000,Other,2.6
179408,Lenovo,Legion Pro 5 16IRX9,899990.0,859990.0,4.44,DOS,Both,Intel UHD Graphics,GeForce RTX 4060,Intel,Core i7,2.2,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.5
179405,Lenovo,Legion Pro 5 16IRX9,819990.0,774990.0,5.49,DOS,Both,Intel UHD Graphics,GeForce RTX 4060,Intel,Core i5,2.6,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.5
179409,Lenovo,Legion 5 16IRX9,829990.0,789990.0,4.82,DOS,Both,Intel UHD Graphics,GeForce RTX 4060,Intel,Core i7,2.2,16,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.3
179397,Lenovo,Legion Pro 7 16IRX9H,1549990.0,1499990.0,3.23,DOS,Both,Intel UHD Graphics,GeForce RTX 4080,Intel,Core i9,2.2,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.62
179404,Lenovo,"Yoga Pro 7 14IMH9, OLED",849990.0,799990.0,5.88,Windows 11 Home (x64) SL,Both,Intel Arc Graphics,GeForce RTX 4050,Intel,Core Ultra 7,1.4,32,SSD,0.0,1024.0,14.5,2880 x 1800,WQ+,1.59
179401,Lenovo,LOQ 15IAX9,409990.0,389990.0,4.88,DOS,Both,Intel UHD Graphics,GeForce RTX 3050,Intel,Core i5,2.4,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.3
179410,Lenovo,LOQ 15AHP9,579990.0,549990.0,5.17,DOS,Both,AMD Radeon 760M,GeForce RTX 4050,AMD,Ryzen 7,3.8,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.3
179396,Lenovo,IdeaPad Slim 5 14IAH8,339990.0,319990.0,5.88,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,2.0,16,SSD,0.0,512.0,14.0,1920 x 1200,WUXGA,1.46
179395,Lenovo,IdeaPad Slim 3 15IRU8,230990.0,219990.0,4.76,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.6,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
179394,Lenovo,IdeaPad 3 15IAU7,294990.0,279990.0,5.08,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
179392,Lenovo,IdeaPad 3 15IAU7,251990.0,239990.0,4.76,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
179391,Lenovo,IdeaPad 3 15IAU7,245990.0,234990.0,4.47,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
179306,Lenovo,"Yoga 9 14IMH9, OLED",914990.0,879990.0,3.83,Windows 11 Home (x64) SL,Integrated,Intel Arc Graphics,No,Intel,Core Ultra 7,1.4,32,SSD,0.0,1024.0,14.0,3840 x 2400,Ultra HD+,1.32
179307,Lenovo,Legion Pro 7 16IRX9H,1799990.0,1749990.0,2.78,DOS,Both,Intel UHD Graphics,GeForce RTX 4090,Intel,Core i9,2.2,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.62
178260,HP,ProBook 450 G10,399990.0,379990.0,5.0,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.79
179033,Lenovo,Yoga 6 13ABR8,529990.0,499990.0,5.66,Windows 11 Home (x64) SL,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 7,2.0,16,SSD,0.0,1024.0,13.3,1920 x 1200,WUXGA,1.37
179032,Lenovo,Yoga 6 13ABR8,499990.0,469990.0,6.0,Windows 11 Home (x64) SL,Integrated,AMD Radeon Graphics,No,AMD,Ryzen 5,2.0,16,SSD,0.0,512.0,13.3,1920 x 1200,WUXGA,1.37
179024,Lenovo,LOQ 15ARP9,489990.0,469990.0,4.08,DOS,Discrete,No,GeForce RTX 4050,AMD,Ryzen 7,3.1,24,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.3
179030,Lenovo,Legion 5 16IRX9,939990.0,899990.0,4.26,DOS,Both,Intel UHD Graphics,GeForce RTX 4070,Intel,Core i7,2.2,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.3
179031,Lenovo,Legion Pro 5 16IRX9,969990.0,939990.0,3.09,DOS,Both,Intel UHD Graphics,GeForce RTX 4070,Intel,Core i7,2.1,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.5
179029,Lenovo,Legion Slim 5 16AHP9,939990.0,909990.0,3.19,DOS,Both,AMD Radeon 780M,GeForce RTX 4070,AMD,Ryzen 7,3.8,32,SSD,0.0,1024.0,16.0,2560 x 1600,WQXGA,2.3
179034,Lenovo,IdeaPad Slim 3 16IRU8,319990.0,299990.0,6.25,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,256.0,16.0,1920 x 1200,WUXGA,1.7
179025,Lenovo,IdeaPad Slim 3 16IAH8,279990.0,269990.0,3.57,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,2.0,16,SSD,0.0,512.0,16.0,1920 x 1200,WUXGA,1.7
179026,Lenovo,IdeaPad Slim 3 16IAH8,289990.0,279990.0,3.45,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,2.0,16,SSD,0.0,1024.0,16.0,1920 x 1200,WUXGA,1.7
179028,Lenovo,IdeaPad Slim 3 15IAH8,239990.0,229990.0,4.17,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,2.0,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
179027,Lenovo,IdeaPad Slim 3 15IAH8,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i5,2.0,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
178978,Lenovo,Yoga Pro 9 16IMH9,,,,Windows 11 Home (x64) SL,Both,Intel Arc Graphics,GeForce RTX 4070,Intel,Core Ultra 9,2.3,64,SSD,0.0,1024.0,16.0,3200 x 2000,Other,2.05
178926,Lenovo,Yoga Pro 7 14IMH9,959990.0,919990.0,4.17,Windows 11 Home (x64) SL,Both,Intel Arc Graphics,GeForce RTX 4060,Intel,Core Ultra 9,2.3,32,SSD,0.0,1024.0,14.5,3072 x 1920,Other,1.59
178922,ASUS,"ROG Zephyrus G14 GA403UU, OLED",849990.0,799990.0,5.88,DOS,Both,AMD Radeon Graphics,GeForce RTX 4050,AMD,Ryzen 7,3.8,16,SSD,0.0,1024.0,14.0,2880 x 1800,WQ+,1.5
178844,ASUS,"Vivobook S 16 S5606MA, OLED",569990.0,549990.0,3.51,Windows 11 Home (x64),Integrated,Intel Arc Graphics,No,Intel,Core Ultra 5,1.2,16,SSD,0.0,1024.0,16.0,3200 x 2000,Other,1.5
178843,ASUS,Vivobook S 14 S5406MA,534990.0,509990.0,4.67,Windows 11 Home (x64),Integrated,Intel Arc Graphics,No,Intel,Core Ultra 5,1.2,16,SSD,0.0,1024.0,14.0,1920 x 1080,Full HD,1.3
178847,ASUS,TUF Gaming A15 FA506NC,,,,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.3
178845,ASUS,"Vivobook S 16 S5606MA, OLED",669990.0,649990.0,2.99,Windows 11 Home (x64),Integrated,Intel Arc Graphics,No,Intel,Core Ultra 9,2.3,16,SSD,0.0,1024.0,16.0,3200 x 2000,Other,1.5
178783,Apple,MacBook Pro A2991 with display Retina Liquid XDR,,,,Mac OS,Integrated,40 Core GPU,No,Apple,M3 Max,2.3,48,SSD,0.0,1024.0,16.2,3456 x 2234,Other,2.1
